     number     value             datetime_start          datetime_complete               duration  params_batch_size params_dec_activation params_enc_activation  params_ilr  params_latent_space  params_n_layers     state
83       83  0.000013 2024-05-18 08:38:16.281696 2024-05-18 08:43:51.374113 0 days 00:05:35.092417                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
60       60  0.000013 2024-05-18 08:04:46.842290 2024-05-18 08:10:32.281964 0 days 00:05:45.439674                 64                  tanh                 swish    0.000050                   36                2  COMPLETE
190     190  0.000013 2024-05-20 09:15:35.581197 2024-05-20 09:23:49.095510 0 days 00:08:13.514313                 64                 swish                  tanh    0.000100                   36                2  COMPLETE
59       59  0.000013 2024-05-18 08:04:39.911009 2024-05-18 08:10:19.566462 0 days 00:05:39.655453                 64                  tanh                   elu    0.000050                   36                2  COMPLETE
160     160  0.000013 2024-05-20 08:15:53.683798 2024-05-20 08:24:00.951442 0 days 00:08:07.267644                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
200     200  0.000013 2024-05-20 09:34:43.135989 2024-05-20 09:42:43.165962 0 days 00:08:00.029973                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
84       84  0.000013 2024-05-18 08:38:46.284046 2024-05-18 08:44:22.863599 0 days 00:05:36.579553                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
111     111  0.000014 2024-05-18 09:11:24.044492 2024-05-18 09:15:07.419495 0 days 00:03:43.375003                128                  tanh                  tanh    0.000100                   36                2  COMPLETE
66       66  0.000014 2024-05-18 08:15:57.629709 2024-05-18 08:21:49.480892 0 days 00:05:51.851183                 64                  tanh                 swish    0.000500                   36                2  COMPLETE
189     189  0.000014 2024-05-20 09:13:34.915801 2024-05-20 09:21:46.089902 0 days 00:08:11.174101                 64                 swish                  tanh    0.000100                   36                2  COMPLETE
63       63  0.000014 2024-05-18 08:10:19.864659 2024-05-18 08:16:07.824877 0 days 00:05:47.960218                 64                  tanh                 swish    0.000100                   36                2  COMPLETE
62       62  0.000014 2024-05-18 08:09:51.184048 2024-05-18 08:15:57.181455 0 days 00:06:05.997407                 64                  tanh                 swish    0.000100                   36                2  COMPLETE
187     187  0.000015 2024-05-20 09:08:19.476195 2024-05-20 09:16:35.587578 0 days 00:08:16.111383                 64                 swish                  tanh    0.000100                   36                2  COMPLETE
61       61  0.000015 2024-05-18 08:08:07.041421 2024-05-18 08:13:46.774996 0 days 00:05:39.733575                 64                  tanh                 swish    0.000050                   36                2  COMPLETE
150     150  0.000016 2024-05-20 07:59:00.762546 2024-05-20 08:06:58.375170 0 days 00:07:57.612624                 64                  tanh                  tanh    0.000500                   36                2  COMPLETE
68       68  0.000017 2024-05-18 08:16:21.014102 2024-05-18 08:22:07.435121 0 days 00:05:46.421019                 64                  tanh                 swish    0.000500                   36                2  COMPLETE
101     101  0.000019 2024-05-18 08:59:07.554632 2024-05-18 09:04:40.708089 0 days 00:05:33.153457                 64                  tanh                  tanh    0.000010                   36                2  COMPLETE
67       67  0.000019 2024-05-18 08:16:08.125881 2024-05-18 08:21:54.636116 0 days 00:05:46.510235                 64                  tanh                 swish    0.000500                   36                2  COMPLETE
120     120  0.000020 2024-05-18 09:22:49.196890 2024-05-18 09:29:22.267646 0 days 00:06:33.070756                 64                  tanh                  tanh    0.000100                   36                3  COMPLETE
65       65  0.000021 2024-05-18 08:13:47.046161 2024-05-18 08:19:27.408032 0 days 00:05:40.361871                 64                  tanh                 swish    0.000500                   36                2  COMPLETE
11       11  0.000021 2024-05-13 02:30:15.001242 2024-05-13 02:36:20.846287 0 days 00:06:05.845045                 64                   elu                   elu    0.000050                   24                3  COMPLETE
161     161  0.000021 2024-05-20 08:17:39.096061 2024-05-20 08:25:33.486670 0 days 00:07:54.390609                 64                  tanh                  tanh    0.000010                   36                2  COMPLETE
90       90  0.000021 2024-05-18 08:46:34.095136 2024-05-18 08:52:25.136462 0 days 00:05:51.041326                 64                 swish                  tanh    0.000100                   36                2  COMPLETE
22       22  0.000022 2024-05-13 03:23:00.976207 2024-05-13 03:25:29.210955 0 days 00:02:28.234748                256                   elu                   elu    0.000100                   36                2  COMPLETE
23       23  0.000022 2024-05-13 03:25:29.548624 2024-05-13 03:27:59.086855 0 days 00:02:29.538231                256                   elu                   elu    0.000100                   36                2  COMPLETE
163     163  0.000022 2024-05-20 08:23:41.177350 2024-05-20 08:31:41.742567 0 days 00:08:00.565217                 64                  tanh                  tanh    0.000010                   36                2  COMPLETE
20       20  0.000022 2024-05-13 03:18:01.145746 2024-05-13 03:20:29.238020 0 days 00:02:28.092274                256                   elu                   elu    0.000100                   36                2  COMPLETE
21       21  0.000023 2024-05-13 03:20:29.591843 2024-05-13 03:23:00.656882 0 days 00:02:31.065039                256                   elu                   elu    0.000100                   36                2  COMPLETE
34       34  0.000024 2024-05-18 07:37:56.483215 2024-05-18 07:40:46.112230 0 days 00:02:49.629015                256                   elu                   elu    0.000100                   36                2  COMPLETE
19       19  0.000025 2024-05-13 03:15:30.195851 2024-05-13 03:18:00.806393 0 days 00:02:30.610542                256                   elu                   elu    0.000100                   36                2  COMPLETE
35       35  0.000026 2024-05-18 07:37:56.986296 2024-05-18 07:40:47.112651 0 days 00:02:50.126355                256                   elu                   elu    0.000100                   36                2  COMPLETE
24       24  0.000027 2024-05-13 03:27:59.421103 2024-05-13 03:30:26.575641 0 days 00:02:27.154538                256                   elu                   elu    0.000100                   36                2  COMPLETE
123     123  0.000028 2024-05-18 09:29:22.586642 2024-05-18 09:34:44.930915 0 days 00:05:22.344273                 64                  tanh                  tanh    0.001000                   36                2  COMPLETE
47       47  0.000028 2024-05-18 07:47:49.098703 2024-05-18 07:50:33.236351 0 days 00:02:44.137648                256                   elu                  relu    0.000100                   36                2  COMPLETE
28       28  0.000029 2024-05-18 07:32:29.987079 2024-05-18 07:35:29.615617 0 days 00:02:59.628538                256                   elu                   elu    0.000050                   36                2  COMPLETE
